dataset,lmbda,cluster_option,L,convergence_iter,optimum,time,seed,energy_list_file
Synthetic,10,kmeans,0.01,17,369.7251982600565,0.2238515000000021,9,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=9.txt
Synthetic,10,kmeans,0.01,11,363.1229574597089,0.29011230000000054,10,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=10.txt
Synthetic,10,ncut,0.01,7,-3692776.746306997,0.23054169999999985,1,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=1.txt
Synthetic,10,ncut,0.01,6,-1.9999999999999862e+18,0.22920750000000112,2,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=2.txt
Synthetic,10,ncut,0.01,6,-702658.5152080605,0.30584650000000124,3,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=3.txt
Synthetic,10,ncut,0.01,6,-1.9999999999999862e+18,0.23049230000000165,4,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=4.txt
Synthetic,10,ncut,0.01,6,-5371.569405748161,0.2617004999999999,5,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=5.txt
Synthetic,10,ncut,0.01,6,-447824.83466404746,0.271862500000001,6,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=6.txt
Synthetic,10,ncut,0.01,107,-1.7028805144389123,0.35003479999999954,7,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=7.txt
Synthetic,10,ncut,0.01,21,-1.999984955432312,0.30581869999999967,8,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=8.txt
Synthetic,10,ncut,0.01,103,-1.637002134838752,0.36872619999999756,9,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=9.txt
Synthetic,10,ncut,0.01,6,-5284675513912.897,0.24118009999999757,10,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.01__lmb=10__seed=10.txt
Synthetic,10,kmedian,0.1,28,290.8460376001974,0.31637800000000027,1,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=1.txt
Synthetic,10,kmedian,0.1,5,-9.999999999999927e+17,0.2430784999999993,2,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=2.txt
Synthetic,10,kmedian,0.1,24,293.9428984247336,0.27872569999999897,3,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=3.txt
Synthetic,10,kmedian,0.1,5,-1.9999999999999854e+18,0.25929800000000114,4,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=4.txt
Synthetic,10,kmedian,0.1,27,288.7380266578758,0.2637932999999997,5,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=5.txt
Synthetic,10,kmedian,0.1,24,288.9376844868666,0.2325160000000004,6,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=6.txt
